cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,result
499.0,941.0,0.03900132233247941,37.452641905561954,0.6461387749421925,2.0,7.0,0.08014462710411949
185.0,625.0,0.168478862157337,39.31837283127027,0.8677122911446693,9.0,7.0,0.0799781363093216
23.0,229.0,0.039931668077923727,14.260858552509786,0.6317513137298058,9.0,6.0,0.08767967751209467
46.0,121.0,0.22929906625734667,21.201189503534547,0.8798748811492989,9.0,5.0,0.08358520914455607
460.0,549.0,0.2958207745449625,37.44731609055998,0.6390411958890746,9.0,4.0,0.07913754966139748
298.0,851.0,0.21271378629223955,20.063329599674358,0.5558912960721546,5.0,7.0,0.07583754546690216
277.0,337.0,0.21752913246192435,3.085102219237368,0.41840642451957855,5.0,2.0,0.07004878948233802
39.0,675.0,0.24626119867636856,6.424590603759761,0.8439958631189807,5.0,6.0,0.07807582003842221
295.0,665.0,0.21503996599122588,43.500040658876586,0.4920973756008987,3.0,4.0,0.07581189653760557
426.0,616.0,0.27417892574008307,42.87012517255668,0.2471542316191082,9.0,3.0,0.07852988271368545
155.0,117.0,0.026771916259204595,12.211249486906839,0.05807223386484095,7.0,10.0,0.0839759885587707
137.0,102.0,0.021311980219948602,14.375961629110922,0.045407261444885404,7.0,10.0,0.08576932501833191
132.0,296.0,0.09105611495781515,13.560986584510983,0.007606903428353684,7.0,10.0,0.08044019277006555
92.0,305.0,0.08734389862667313,27.34531961906098,0.2964116813772677,7.0,9.0,0.0792256381916747
193.0,235.0,0.08226963037203258,27.71538036717152,0.1639206266896171,10.0,0.0,0.07036427864027031
90.0,430.0,0.010272345411680414,12.042611567019168,0.7131761318236135,8.0,8.0,0.08642518034659043
36.0,487.0,0.12009215947716273,0.8933319678204761,0.7203160202565264,10.0,8.0,0.07301022105386619
224.0,416.0,0.059035699784749804,7.697010430252737,0.9874481972317599,8.0,8.0,0.08121832507569778
94.0,424.0,0.1437180125986936,19.34347399288545,0.7242373583976669,8.0,6.0,0.08156005394444028
357.0,196.0,0.012720499749497972,49.3033941041739,0.4052671549362831,6.0,5.0,0.09333510751430199
360.0,210.0,0.054665708845585484,47.22249100545547,0.3889659497767702,4.0,1.0,0.06689544021326171
353.0,219.0,0.011151079134795565,31.667460242644673,0.5286760997633201,6.0,5.0,0.09219170679205514
365.0,222.0,0.047580859953029055,30.646444004437836,0.5208748782724952,6.0,5.0,0.08284342006578663
372.0,187.0,0.07009438243988804,32.521294347342895,0.41042474277331004,6.0,3.0,0.07893868778149304
330.0,337.0,0.010444729746988764,46.678022346382555,0.30629160267515565,4.0,6.0,0.09414753031807711
325.0,350.0,0.11238531236911219,49.85429202016592,0.29776302873864857,4.0,5.0,0.08512151381638361
404.0,286.0,0.01376220595417446,45.33282714325858,0.16725812118033903,4.0,4.0,0.08720125785128491
330.0,382.0,0.03352654917836929,49.490631294440874,0.36988140994367324,3.0,6.0,0.08464131637883363
251.0,505.0,0.1634745188217797,33.87087493620868,0.47446680798995744,6.0,3.0,0.07882729859783227
481.0,160.0,0.10943375526311742,38.20009651089005,0.5675246670081362,2.0,5.0,0.08150280465893023
412.0,992.0,0.037342573414246544,40.64917329930302,0.23148450852741953,5.0,7.0,0.08135856341804222
329.0,250.0,0.03776943132412797,23.179841092747807,0.6282070567897682,3.0,6.0,0.0839438430551747
244.0,177.0,0.010400516384681615,35.55721014984514,0.4476653442447632,6.0,7.0,0.07761941224771723
394.0,267.0,0.06795601387685601,41.48269975362726,0.577440186565056,2.0,5.0,0.08413339660190006
336.0,176.0,0.046414256531383515,45.5826731628878,0.34133828149245066,5.0,4.0,0.08771049207162646
342.0,168.0,0.04706625852223188,45.10503237643076,0.3354562183628027,4.0,4.0,0.08805383536107195
446.0,354.0,0.025634414628145114,47.26941744392373,0.32249769870192446,4.0,2.0,0.08116498174341097
296.0,842.0,0.05785071356993614,39.01982366109094,0.17676734264745797,3.0,4.0,0.07888974185353294
374.0,153.0,0.13472360568602565,44.224672428870164,0.2437288689990711,4.0,6.0,0.07944779297115108
278.0,137.0,0.1956897557484512,49.83974543594647,0.45246646903303656,5.0,2.0,0.07456757520265317
